RICE;RICE_KEY;RICE base;Tipo comparação;Presente Empresa;Presente Consultoria;Origem;Qtd registros na origem;Fases encontradas na origem;Responsáveis consolidados;Status consolidado origem;Fase consolidada origem;Total registros Empresa;Total registros Consultoria;__origem;__arquivo;Identificação da tarefa;Nome da tarefa;Categoria;Meta;Status;Prioridade;Atribuído a;Criado por;Criado em;Data de conclusão;Data de início;É Recorrente;Atrasados;Concluído em;Concluída por;Itens concluídos da lista de verificação;Itens da lista de verificação;Rótulos;Notas
ITG-FAB-ITG-004;ITGFABITG004;ITG-FAB-ITG-004;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Em andamento;05|Em construção;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;IEnIvo8SDUCwZTP0bj8sGGUAKJDI;ITG-FAB-ITG-004 - Integração com as balanças com comunicação com as balanças;05|Em construção;;Em andamento;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-01-29;2025-10-20;;true;;;;;15|Agrosys - Fab. Rações e FFO;
ITG-FAB-ITG-004;ITGFABITG004;ITG-FAB-ITG-004;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"DOUGLAS NIERO; kleyton.medeiros";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;rBQZDfu-oUWnWkQ0frDc-2UADj2S;ITG-FAB-ITG-004 - Integração com as balanças com comunicação com as balanças;10|Deploy;;Concluída;Média;"DOUGLAS NIERO;kleyton.medeiros";Kauan Rossa;2025-12-23;2026-02-25;;;false;2026-04-21;Renan Strapazzon;;;"Integração - Agrosys;Agrosys";Integração com as balanças com comunicação com as balanças
ITG-FFO-100.100;ITGFFO100.100;ITG-FFO-100.100;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Concluída;10|Deploy;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;otWUDsM71kSHVr_UWRcYImUABmnu;ITG-FFO-100.100 - Envia Apontamento Balança;10|Deploy;;Concluída;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-02-16;2026-02-16;;false;2026-03-03;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
ITG-FFO-100.100 ENV;ITGFFO100.100ENV;ITG-FFO-100.100 ENV;Só na Consultoria;Não;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;RFhvSUqGNkyhGfxZOwzJfmUAGbx8;"ITG-FFO-100.100 Envia Apontamento Balança - PPE#02; PPE#03";10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2026-02-16;;;false;2026-02-26;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";"Envia Apontamento Balança - PPE#02; PPE#03"
ITG-FFO-100.120;ITGFFO100.120;ITG-FFO-100.120;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Não iniciado;08|Pré-Teste|Parceiro;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;4Se1HTbFgUy026L1BQXTXmUAGgo9;ITG-FFO-100.120 - Solicita Emissão Nota Fiscal;08|Pré-Teste|Parceiro;;Não iniciado;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-01-22;2026-01-16;;true;;;;;15|Agrosys - Fab. Rações e FFO;
ITG-FFO-100.120 SOL;ITGFFO100.120SOL;ITG-FFO-100.120 SOL;Só na Consultoria;Não;Sim;Consultoria;5;10|Deploy;Alessandro Jacobi;Concluída;10|Deploy;0;5;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;2ouGDQ7rJEGXdIXmQ7tYmWUAD-XB;ITG-FFO-100.120 Solicita Emissão Nota Fiscal - PVF#25_1-Vendas;10|Deploy;;Concluída;Média;Alessandro Jacobi;Renan Strapazzon;2026-02-27;2026-02-09;;;false;2026-02-27;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Solicita Emissão Nota Fiscal - PVF#25
ITG-FFO-100.130;ITGFFO100.130;ITG-FFO-100.130;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Concluída;10|Deploy;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;yi61tFlpUEKJN3vgHFHpBWUAOiOS;ITG-FFO-100.130 - Notas Autorizadas;10|Deploy;;Concluída;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-03-10;2026-03-10;;false;2026-03-03;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
ITG-FFO-100.130 NOT;ITGFFO100.130NOT;ITG-FFO-100.130 NOT;Só na Consultoria;Não;Sim;Consultoria;1;10|Deploy;Alessandro Jacobi;Concluída;10|Deploy;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;U_gd5vFrk0WDRG6tcHtt2WUAC5D0;ITG-FFO-100.130 Notas Autorizadas - PVF#23;10|Deploy;;Concluída;Média;Alessandro Jacobi;Kauan Rossa;2025-12-23;2026-03-10;;;false;2026-02-26;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Notas Autorizadas - PVF#23
ITG-FFO-100.40;ITGFFO100.40;ITG-FFO-100.40;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Não iniciado;07|Ajuste|Cons;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;8sI1Z1FsqEGBBowQOW5M-2UANu9c;ITG-FFO-100.40 - Integra Carga OTM;07|Ajuste|Cons;;Não iniciado;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2025-12-09;2025-12-09;;true;;;;;15|Agrosys - Fab. Rações e FFO;
ITG-FFO-100.40 INT;ITGFFO100.40INT;ITG-FFO-100.40 INT;Só na Consultoria;Não;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;yCKKPRpUhUiYRhbRp6HHWGUALqEZ;ITG-FFO-100.40 Integra Carga OTM - OTM#11/OTM#37;10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2026-02-16;;;false;2026-03-19;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Integra Carga OTM - OTM#11/OTM#37/OTM#19
ITG-FFO-200.70;ITGFFO200.70;ITG-FFO-200.70;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Concluída;10|Deploy;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;56xsGU6uYkmOh803oRaXqWUACWwi;ITG-FFO-200.70 - Envio das Ordens de Produção;10|Deploy;;Concluída;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-02-09;2026-02-09;;false;2026-03-03;Jean Piere Moretto;;;15|Agrosys - Fab. Rações e FFO;
ITG-FFO-200.70 ENV;ITGFFO200.70ENV;ITG-FFO-200.70 ENV;Só na Consultoria;Não;Sim;Consultoria;1;10|Deploy;Jaime Alcides;Concluída;10|Deploy;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;DyU1r8e-KUyG9Ybzw9di0GUAGyb5;ITG-FFO-200.70 Envio das Ordens de Produção - PPE#01;10|Deploy;;Concluída;Média;Jaime Alcides;Kauan Rossa;2025-12-23;2026-02-09;;;false;2026-02-27;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Envio das Ordens de Produção - PPE#01
ITG-GQ.03.40;ITGGQ.03.40;ITG-GQ.03.40;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Em andamento;05|Em construção;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;4RqmTRwj2EuKH7nzkRSJFGUABROl;ITG-GQ.03.40 - Relatório de não conformidade;05|Em construção;;Em andamento;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-03-25;2025-09-29;;true;;;;;15|Agrosys - Fab. Rações e FFO;
ITG-GQ.03.40 REL;ITGGQ.03.40REL;ITG-GQ.03.40 REL;Só na Consultoria;Não;Sim;Consultoria;1;10|Deploy;Vitor Pra;Concluída;10|Deploy;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;ZRO0B1x9XEOy2mt-Q8flQmUAOfyo;ITG-GQ.03.40 Relatório de não conformidade - GCO#17;10|Deploy;;Concluída;Média;Vitor Pra;Kauan Rossa;2025-12-23;2026-04-16;;;false;2026-04-23;Renan Strapazzon;;;"Integração - Agrosys;Agrosys";Relatório de não conformidade - GCO#17
ITG-TR-REM.01;ITGTRREM.01;ITG-TR-REM.01;Só na Consultoria;Não;Sim;Consultoria;1;05|Em construção;Jaime Alcides;Em andamento;05|Em construção;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;_YiV2mbDs0qdXc0J2auzuGUAEQ7M;ITG-TR-REM.01 - Transferência Remessas;05|Em construção;;Em andamento;Média;Jaime Alcides;Renan Strapazzon;2026-03-27;2026-06-01;;;false;;;;;"Integração - Agrosys;Agrosys";Transferência Remessas
KT.COMEX#03;KT.COMEX#03;KT.COMEX#03;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Cleber Escritori;Não iniciado;05|Elab.Rot.Teste;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;NhqZftm1tkiuhipsokuNWWUAMfgL;KT.COMEX#03 - Validação Comercial - Comex;05|Elab.Rot.Teste;;Não iniciado;Média;Cleber Escritori;Jean Piere Moretto;2026-01-29;2025-12-19;2025-12-18;;true;;;;;20|KTGroup;
KT.COMEX#03;KT.COMEX#03;KT.COMEX#03;RICE igual;Sim;Sim;Consultoria;1;04|Doc. Técnica (ET);"Luiz Dias; Alex Bispo";Em andamento;04|Doc. Técnica (ET);13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;wUdna2LO_0C7z7imqDQBiGUALsjI;KT.COMEX#03 - Validação Comercial Comex;04|Doc. Técnica (ET);;Em andamento;Média;"Luiz Dias;;Alex Bispo";Magali Souza;2026-01-06;2026-01-06;2025-09-05;;true;;;2/3;"Aguardando ajustes da Ecomex para agendarmos a validação do desenvolvimento24/03/2026;Informação recebida da Ninecon em 22/01/2026.;Desenvolvimento concluído em 27/01/2026";KT Group;"Pendente de definição da Tag que será informado o numero da Invoice na PO.
Informação necessário para validação automática da PO x Documento.
GAP Ninecon: GCO#21"
KT.CONSUMO#02;KT.CONSUMO#02;KT.CONSUMO#02;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;8sYIq8Ls9U-pyetz6K5ngGUAKFTu;KT.CONSUMO#02 - Estratificação de Faturas de Consumo e Nota de Comunicação não contempladas no Escopo;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-17;2025-11-17;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.CONSUMO#02;KT.CONSUMO#02;KT.CONSUMO#02;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;q4pu0fng3U-ccLHI_PHlYmUAM45_;GAP - KT.CONSUMO#02 - Estratificação de Faturas de Consumo e Notas de Comunicação;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-11-17;2025-08-19;;false;2026-01-06;Magali Souza;;;KT Group;
KT.CONSUMO#03;KT.CONSUMO#03;KT.CONSUMO#03;Só na Consultoria;Não;Sim;Consultoria;1;05|Em construção;Alex Bispo;Em andamento;05|Em construção;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;CT3oHn5etUqIS31O3t2l42UAOMuT;KT.CONSUMO#03 – Integração com AP - Contas de Telecom e Energia (derivação do CFOP) e Energia (linhas negativas);05|Em construção;;Em andamento;Média;Alex Bispo;Francielly Sodre - Ninecon;2026-03-06;2026-04-23;2026-03-17;;true;;;6/8;"Teste e Validação Pluma;Aprovação EF;Deploy;Elaboração Roteiro de Testes;Em Teste | Consultor;Doc. Funcional (EF);Desenvol. Codificação + Testes Func + Ajustes;Doc. Técnica (ET)";KT Group;
KT.CTE#02;KT.CTE#02;KT.CTE#02;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;JlCkm0abTEaxYjV1mxcRVWUALhs4;KT.CTE#02 - Integração - Manifesto do Transporte (Retorno do Oracle);10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-06;2025-10-06;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.CTE#02;KT.CTE#02;KT.CTE#02;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;88100QgJkkKEO90EGoIS4mUAIXHc;GAP - KT.CTE#02 - Integração - Manifesto dos CTE´s (Retorno do Oracle);10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-10-07;2025-09-22;;false;2026-01-06;Magali Souza;;;KT Group;
KT.FINANCAS#01;KT.FINANCAS#01;KT.FINANCAS#01;Só na Consultoria;Não;Sim;Consultoria;1;04|Doc. Técnica (ET);Alex Bispo;Em andamento;04|Doc. Técnica (ET);0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;o6GNbt1DmUOoawWnF8kzgGUAH9ao;KT.FINANCAS#01 - KT.FINANÇAS#01 – Integração com AP – Faturas de Concessionárias;04|Doc. Técnica (ET);;Em andamento;Média;Alex Bispo;Francielly Sodre - Ninecon;2026-03-06;2026-05-20;2026-03-03;;false;;;2/8;"Em Teste | Consultor;Elaboração Roteiro de Testes;Doc. Funcional (EF);Deploy;Desenvol. Codificação + Testes Func + Ajustes;Teste e Validação Pluma;Aprovação EF;Doc. Técnica (ET)";KT Group;
KT.FINANCAS#02;KT.FINANCAS#02;KT.FINANCAS#02;Só na Consultoria;Não;Sim;Consultoria;1;04|Doc. Técnica (ET);Alex Bispo;Em andamento;04|Doc. Técnica (ET);0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;enrFPJ9cBEuFQGXSsrwHX2UANtJ9;KT.FINANCAS#02 - KT.FINANÇAS#02 – Integração com Catalise Tech;04|Doc. Técnica (ET);;Em andamento;Média;Alex Bispo;Francielly Sodre - Ninecon;2026-03-06;2026-05-13;2026-04-28;;true;;;2/8;"Doc. Funcional (EF);Aprovação EF;Teste e Validação Pluma;Deploy;Em Teste | Consultor;Doc. Técnica (ET);Desenvol. Codificação + Testes Func + Ajustes;Elaboração Roteiro de Testes";KT Group;
KT.NFE#01;KT.NFE#01;KT.NFE#01;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;xZb4cC5_BESJflNWfwGqtWUABGv-;KT.NFE#01 - Integração - Atualização Cadastro de Produtos;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-09-26;2025-09-26;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#01;KT.NFE#01;KT.NFE#01;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;ZraUUfZM1kiXxG-eAa4hRWUANy-I;GAP - KT.NFE#01 - Integração - Atualização Cadastro de Produto;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-10-21;2025-09-12;;false;2026-01-06;Magali Souza;;;KT Group;
KT.NFE#02;KT.NFE#02;KT.NFE#02;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;Dun1Iy0goECmNqUBz1ISSGUAOqp3;KT.NFE#02 - Validação Tributária - Regimes Especiais;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-09-10;2025-09-10;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#02;KT.NFE#02;KT.NFE#02;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;67ooSYNczEWb88B6QUlUSmUANuu3;GAP - KT.NFE#02 - Validação Tributária - Regimes Especiais;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-09-10;2025-08-29;;false;2026-01-06;Magali Souza;;;KT Group;
KT.NFE#03;KT.NFE#03;KT.NFE#03;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;pOUsOx0ftkGYD4w_Y-8O_2UAHSwD;KT.NFE#03 - Integração - Disponibilização dos dados dos XML´s das NFE´s do Processo de Beneficiário / Serviço para industrialização;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-11-17;2025-11-17;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#03;KT.NFE#03;KT.NFE#03;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;8GlruUxp50qQpz6fqZeXYmUAEMeB;GAP - KT.NFE#03 - Integração – Disponibilização dos dados dos XMLs das NFEs do Processo de Beneficiário / Serviço para Industrialização.;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-11-25;2025-10-03;;false;2026-01-06;Magali Souza;;;KT Group;
KT.NFE#04;KT.NFE#04;KT.NFE#04;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;wdjWNwGSN0C0v3L_rkKl32UAD8sA;KT.NFE#04 - Integração - Manifesto das Notas (Retorno do Oracle);10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-01;2025-10-01;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#04;KT.NFE#04;KT.NFE#04;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;GW_oji68xUGw95-fcaBaTWUAOhFk;GAP - KT.NFE#04 - Integração - Manifesto das Notas (Retorno do Oracle);10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";;2026-01-06;2025-10-02;2025-09-17;;false;2026-01-06;Magali Souza;;;KT Group;
KT.NFE#07;KT.NFE#07;KT.NFE#07;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;l3yRSOYIN0iANtAQoWFYLmUAMlXM;KT.NFE#07 - Retenção das notas serie 890 - Para emissão de nota de entrada;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-09-08;2025-09-05;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#07;KT.NFE#07;KT.NFE#07;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;4oA6XgaKwU2oyKC0LEa_SGUAPay2;GAP - KT.NFE#07 - Retenção das notas serie 890;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-09-08;2025-08-25;;false;2026-01-06;Magali Souza;;;KT Group;
KT.NFE#08;KT.NFE#08;KT.NFE#08;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;LVoKcdI06EqLf0Iud9SRfmUACU4T;KT.NFE#08 - Integração RMA (Devolução de Venda);10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-09;2025-10-09;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#08;KT.NFE#08;KT.NFE#08;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;uaeXQtqrGEeTx01cuEu3DWUAI01P;GAP - KT.NFE#08 - Integração - RMA - Devolução de Vendas;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-10-10;2025-09-25;;false;2026-01-06;Magali Souza;;;KT Group;
KT.NFE#09;KT.NFE#09;KT.NFE#09;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;GzMSLe_BZUeGEVGc_XE2iGUAFeVL;KT.NFE#09 - Integração Requisição Interna (Transferências);10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2025-10-14;2025-10-14;;false;2026-01-29;Jean Piere Moretto;;;20|KTGroup;
KT.NFE#09;KT.NFE#09;KT.NFE#09;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Luiz Dias; Alex Bispo; Magali Souza";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;27yf2DuoHke8hOFF4BjOCWUABQWB;GAP - KT.NFE#09 - Integração - Requisição Interna - Transferências;10|Deploy;;Concluída;Média;"Luiz Dias;Alex Bispo;Magali Souza";Magali Souza;2026-01-06;2025-10-15;2025-09-30;;false;2026-01-06;Magali Souza;;;KT Group;
